所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
开宝箱游戏,入口 活动期间，用户通过链接点击进入游戏会场,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,时间 游戏时间 12月10日0点-12月12日24点,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,时间 奖品使用时间 根据优惠券设定,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 title 开箱有礼,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,"显示 标题 开箱有礼
赢1212元券",无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 弹幕 活动结束后不显示,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 弹幕 循环轮播中奖信息，参照天天抽奖（同时轮播1条，5秒更换1次）,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 弹幕 文案：用户XXX刚刚抽到了XX元优惠券,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 弹幕 用户XX十分幸运抽到了1212元优惠券（每5条里加一条1212券的中奖信息，没有中出前放一条虚拟信息）,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 文案 选择一个宝箱砸开！,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 结果页 中奖 恭喜您获得XX优惠券一张（平台优惠券或店铺券）,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 结果页 中奖 优惠券具体内容,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 结果页 未中奖 很遗憾，您未中奖，再接再厉,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 按钮 有次数 再开一次,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 按钮 无次数 可分享获得次数 H5：分享获得游戏次数,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 按钮 无次数 可分享获得次数 小程序、APP：按钮：分享获得游戏次数,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 按钮 无次数 不可分享获得次数 10-11号：明天再来,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 宝箱 按钮 无次数 不可分享获得次数 12号：次数已用完,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 当前剩余次数 X次（每日起始有3次，每天0点刷新次数）,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 中奖纪录弹窗：（不可点击）,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 title：中奖纪录,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 奖品名称,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 获奖时间,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 有效期至,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 中奖纪录 缺省页文案 您的奖品栏空空如也，赶快去砸宝箱吧,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 目前奖品类型 商家优惠券、无门槛优惠券、满减优惠券,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,"显示 中奖率 中奖率：50%其中：平台券最多获得
1张；商家券10张，中平台优惠券和商家优惠券概率位1:3",无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 使用时间 根据优惠券设定的时间,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 活动规则 文案说明,无,,,功能测试,中,手动,迭代测试
开宝箱游戏,显示 返回会场按钮 点击后返回至主会场,无,,,功能测试,中,手动,迭代测试
超级重器,入口 用户通过入口或链接点击进入分会场,无,,,功能测试,中,手动,迭代测试
超级重器,时间 12月10日0点-12月12日22点,无,,,功能测试,中,手动,迭代测试
超级重器,显示 分享按钮：包含二维码海报,无,,,功能测试,中,手动,迭代测试
超级重器,显示 banner,无,,,功能测试,中,手动,迭代测试
超级重器,显示 分类tab 全部：所有分类,无,,,功能测试,中,手动,迭代测试
超级重器,显示 分类tab 排序7大类目千人千面,无,,,功能测试,中,手动,迭代测试
超级重器,显示 拍品展示 图片,无,,,功能测试,中,手动,迭代测试
超级重器,显示 拍品展示 描述,无,,,功能测试,中,手动,迭代测试
超级重器,显示 拍品展示 价格,无,,,功能测试,中,手动,迭代测试
超级重器,显示 拍品展示 出价次数,无,,,功能测试,中,手动,迭代测试
超级重器,显示 排序 按照热度从高到低排序,无,,,功能测试,中,手动,迭代测试
超级重器,显示 返回主会场悬浮按钮,无,,,功能测试,中,手动,迭代测试
超级重器,显示 超过两屏返回顶部按钮,无,,,功能测试,中,手动,迭代测试
超级重器,显示 底部文案：已经到底啦~,无,,,功能测试,中,手动,迭代测试
超级重器,交互： 点击tab可进行切换,无,,,功能测试,中,手动,迭代测试
超级重器,交互： tab可滑动查看更多,无,,,功能测试,中,手动,迭代测试
超级重器,交互： 点击拍品：进入对应拍品详情页,无,,,功能测试,中,手动,迭代测试
超级重器,注意：每个分类独立报名，可实现每个分类独立置顶。全部里置顶优先，不同分类的置顶，热度高的在前,无,,,功能测试,中,手动,迭代测试
主会场,入口 用户通过链接或入口点击进入主会场,无,,,功能测试,中,手动,迭代测试
主会场,时间 12月10日0点-12月12日24点,无,,,功能测试,中,手动,迭代测试
主会场,显示 BANNER,无,,,功能测试,中,手动,迭代测试
主会场,显示 右上角分享：包括二维码海报,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 大师精工,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 开箱有礼,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 领券中心,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 超级重器,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 展示分会场最前面10个直播间入口,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 更多按钮,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间入口：双排展示,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 状态：直播中>预展,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 观看人数,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 地点,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 店铺头像,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 店铺名,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 直播专区 直播间信息 直播主题,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 排序：千人千面,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 每个类目最前面的8个拍品,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 拍品信息 图片,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 拍品信息 描述,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 拍品信息 当前价,无,,,功能测试,中,手动,迭代测试
主会场,显示 分会场入口 重器会场七大分类分开展示入口 拍品信息 出价次数,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： title 1212微拍收藏节 热消度总榜,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： 分类tab 热消度总榜：按热消度排序；热消度=实际销售金额,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： 分类tab 人气榜：点击分享链接——普通人点击分享链接+1，老用户点击+2，最后的总分值*100+ID尾号后2位（认证用户展示）,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： 分类tab 7大分类分榜：千人千面显示,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： 分类tab 主会场展示前10名 前三名区分展示,无,,,功能测试,中,手动,迭代测试
主会场,显示 排行榜： 分类tab 查看完整榜单按钮,无,,,功能测试,中,手动,迭代测试
主会场,显示 猜你喜欢 点击拍品：进入对应怕品详情页,无,,,功能测试,中,手动,迭代测试
主会场,显示 猜你喜欢 点击更多：进入重器分会场-全部,无,,,功能测试,中,手动,迭代测试
大师精工,入口 用户通过入口或链接点击进入分会场,无,,,功能测试,中,手动,迭代测试
大师精工,时间 12月10日0点-12月12日22点,无,,,功能测试,中,手动,迭代测试
大师精工,显示 分享按钮：包含二维码海报,无,,,功能测试,中,手动,迭代测试
大师精工,显示 title：大师精工,无,,,功能测试,中,手动,迭代测试
大师精工,显示 banner,无,,,功能测试,中,手动,迭代测试
大师精工,显示 分类tab 全部：所有分类,无,,,功能测试,中,手动,迭代测试
大师精工,显示 分类tab 排序：7大类目千人千面,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 图片,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 描述,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 价格,无,,,功能测试,中,手动,迭代测试
大师精工,显示 拍品展示： 出价次数,无,,,功能测试,中,手动,迭代测试
大师精工,显示 排序：按照热度从高到低排序,无,,,功能测试,中,手动,迭代测试
大师精工,显示 返回主会场悬浮按钮,无,,,功能测试,中,手动,迭代测试
大师精工,显示 超过两屏返回顶部按钮,无,,,功能测试,中,手动,迭代测试
大师精工,显示 底部文案：已经到底啦~,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： 点击tab可进行切换,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： tab可滑动查看更多,无,,,功能测试,中,手动,迭代测试
大师精工,显示 交互： 点击拍品：进入对应拍品详情页,无,,,功能测试,中,手动,迭代测试
排行榜,入口 用户通过入口或链接点击进入会场,无,,,功能测试,中,手动,迭代测试
排行榜,时间 12月12日-12月19日,无,,,功能测试,中,手动,迭代测试
排行榜,显示 title 微拍节店铺排行榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 热消度总榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 人气维度按照：普通用户（除老用户外）点击分享链接+1，老用户（30天内未登录）点击+2，最后的总分值*100+ID后两位尾号,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 分享规则：12号当天，店铺分享主会场页面，用户点击分享链接后可增加人气；,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 需要支持黑名单屏蔽,无,,,功能测试,中,手动,迭代测试
排行榜,显示 类型tab 人气榜： 七大分类榜,无,,,功能测试,中,手动,迭代测试
排行榜,显示 每种展示前50名,无,,,功能测试,中,手动,迭代测试
排行榜,显示 前三名做区分,无,,,功能测试,中,手动,迭代测试
排行榜,显示 每个店铺均可点击,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击店铺： 有直播：进入直播间,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击店铺： 无直播：进入店铺首页,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 点击tab：可以切换,无,,,功能测试,中,手动,迭代测试
排行榜,显示 交互： 滑动tab：可查看剩余类别,无,,,功能测试,中,手动,迭代测试
